Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2014,1,1,0,0,0,0,0,0,0,0,0,-5,92.78,0,0.223,2.8,45.6,4,900,N/A
2014,1,1,0,30,0,0,0,0,0,0,0,-5,98.49,0,0.223,3,48.89,4,900,N/A
2014,1,1,1,0,0,0,0,0,0,0,0,-6,104.34,0,0.223,3.2,48,4,900,N/A
2014,1,1,1,30,0,0,0,0,0,0,0,-6,110.33,0,0.223,3.3,51.5,3,900,N/A
2014,1,1,2,0,0,0,0,0,0,0,0,-6,116.41,0,0.223,3.4,51.18,3,900,N/A
2014,1,1,2,30,0,0,0,0,0,0,0,-6,122.57,0,0.223,3.5,51.17,3,900,N/A
2014,1,1,3,0,0,0,0,0,0,0,0,-6,128.78,0,0.223,3.6,51.46,3,900,N/A
2014,1,1,3,30,0,0,0,0,0,0,0,-6,135.02,0,0.223,3.7,55.24,2,900,N/A
2014,1,1,4,0,0,0,0,0,0,0,0,-5,141.26,0,0.223,3.9,55.85,2,900,N/A
2014,1,1,4,30,0,0,0,0,0,0,0,-5,147.45,0,0.223,4,55.84,2,900,N/A
2014,1,1,5,0,0,0,0,0,0,0,0,-5,153.53,0,0.223,4.1,56.44,2,900,N/A
2014,1,1,5,30,0,0,0,0,0,0,0,-5,159.36,0,0.223,4.1,60.61,1,900,N/A
2014,1,1,6,0,0,0,0,0,0,0,0,-5,164.62,0,0.223,4.2,60.83,1,900,N/A
2014,1,1,6,30,0,0,0,0,0,0,0,-5,168.45,0,0.223,4.2,60.8,1,900,N/A
2014,1,1,7,0,0,0,0,0,0,0,0,-5,169.19,0,0.223,4.2,60.1,1,900,N/A
2014,1,1,7,30,0,0,0,0,0,0,0,-5,166.33,0,0.223,4.2,60.08,1,900,N/A
2014,1,1,8,0,0,0,0,0,0,0,0,-6,161.47,0,0.223,4.2,58.76,1,900,N/A
2014,1,1,8,30,0,0,0,0,0,0,0,-6,155.8,0,0.223,4.2,58.74,1,900,N/A
2014,1,1,9,0,0,0,0,0,0,0,0,-6,149.79,0,0.223,4.2,57.49,1,900,N/A
2014,1,1,9,30,0,0,0,0,0,0,0,-6,143.62,0,0.223,4.2,57.47,1,900,N/A
2014,1,1,10,0,0,0,0,0,0,0,0,-6,137.4,0,0.223,4.3,56.85,1,900,N/A
2014,1,1,10,30,0,0,0,0,0,0,0,-6,131.15,0,0.223,4.3,61.09,0,900,N/A
2014,1,1,11,0,0,0,0,0,0,0,0,-6,124.93,0,0.223,4.3,61,0,900,N/A
2014,1,1,11,30,0,0,0,0,0,0,0,-6,118.74,0,0.223,4.3,61,0,900,N/A
2014,1,1,12,0,0,0,0,0,0,0,0,-6,112.63,0,0.223,4.3,61.27,0,900,N/A
2014,1,1,12,30,0,0,0,0,0,0,0,-6,106.6,0,0.223,4.4,61.27,0,900,N/A
2014,1,1,13,0,0,0,0,0,0,0,0,-6,100.69,0,0.223,4.5,61.59,0,900,N/A
2014,1,1,13,30,0,0,0,0,0,0,0,-6,94.92,0,0.223,4.8,57.31,1,900,N/A
2014,1,1,14,0,0,0,0,0,0,0,0,-6,89.32,0,0.223,5.1,54.1,2,900,N/A
2014,1,1,14,30,37,161,54,27,517,81,3,-6,83.95,0,0.223,5.1,50.39,3,900,N/A
2014,1,1,15,0,39,684,171,39,684,171,1,-5,78.84,0,0.223,5.3,45.3,5,900,N/A
2014,1,1,15,30,47,785,262,47,785,262,1,-5,74.06,0,0.223,5.1,39.46,7,900,N/A
2014,1,1,16,0,53,849,348,53,849,348,0,-4,69.67,0,0.223,5,36.86,9,900,N/A
2014,1,1,16,30,57,895,424,57,895,424,0,-4,65.77,0,0.223,5.3,32.25,11,900,N/A
2014,1,1,17,0,61,924,489,61,924,489,0,-4,62.43,0,0.223,5.7,28.13,14,900,N/A
2014,1,1,17,30,64,947,541,64,947,541,0,-4,59.76,0,0.223,6.2,26.36,15,900,N/A
2014,1,1,18,0,64,964,578,64,964,578,0,-3,57.85,0,0.223,6.7,23.78,17,900,N/A
2014,1,1,18,30,65,973,598,65,973,598,0,-3,56.78,0,0.223,6.9,23.77,17,900,N/A
2014,1,1,19,0,65,976,603,65,976,603,0,-3,56.6,0,0.223,7.1,22.45,18,900,N/A
