Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,4,-5,92.75,0,0.191,2.3,45.09,5,890
2017,1,1,0,30,0,0,0,0,0,0,1,-5,98.45,0,0.191,2.2,48.34,5,890
2017,1,1,1,0,0,0,0,0,0,0,4,-5,104.31,0,0.191,2.1,47.77,5,890
2017,1,1,1,30,0,0,0,0,0,0,1,-5,110.29,0,0.191,1.9,51.23,4,890
2017,1,1,2,0,0,0,0,0,0,0,4,-4,116.38,0,0.191,1.8,52.96,4,890
2017,1,1,2,30,0,0,0,0,0,0,4,-4,122.53,0,0.191,1.6,52.97,4,890
2017,1,1,3,0,0,0,0,0,0,0,0,-4,128.75,0,0.191,1.5,55.44,4,890
2017,1,1,3,30,0,0,0,0,0,0,0,-4,134.98,0,0.191,1.3,55.44,4,890
2017,1,1,4,0,0,0,0,0,0,0,0,-3,141.22,0,0.191,1.2,56.98,4,890
2017,1,1,4,30,0,0,0,0,0,0,0,-3,147.41,0,0.191,1.1,61.13,3,890
2017,1,1,5,0,0,0,0,0,0,0,0,-3,153.5,0,0.191,1,60.88,3,890
2017,1,1,5,30,0,0,0,0,0,0,0,-3,159.33,0,0.191,0.9,65.35,2,890
2017,1,1,6,0,0,0,0,0,0,0,0,-4,164.59,0,0.191,0.9,63.59,2,890
2017,1,1,6,30,0,0,0,0,0,0,0,-4,168.42,0,0.191,0.9,68.31,1,890
2017,1,1,7,0,0,0,0,0,0,0,0,-4,169.17,0,0.191,0.9,66.58,1,890
2017,1,1,7,30,0,0,0,0,0,0,0,-4,166.33,0,0.191,0.9,66.57,1,890
2017,1,1,8,0,0,0,0,0,0,0,0,-4,161.47,0,0.191,1,66.21,1,890
2017,1,1,8,30,0,0,0,0,0,0,0,-4,155.81,0,0.191,1,71.15,0,890
2017,1,1,9,0,0,0,0,0,0,0,0,-4,149.8,0,0.191,1.1,71.96,0,890
2017,1,1,9,30,0,0,0,0,0,0,0,-4,143.64,0,0.191,1.1,71.94,0,890
2017,1,1,10,0,0,0,0,0,0,0,0,-3,137.41,0,0.191,1.2,75.01,0,890
2017,1,1,10,30,0,0,0,0,0,0,0,-3,131.17,0,0.191,1.2,75,0,890
2017,1,1,11,0,0,0,0,0,0,0,0,-2,124.94,0,0.191,1.3,82.84,0,890
2017,1,1,11,30,0,0,0,0,0,0,0,-2,118.76,0,0.191,1.3,82.84,0,890
